PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPUNAVAILREASON,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10000047,10001143,PSSFDOPTDIS,1,0,,,,,,,,,,,,,
10000055,10000055,AB37,1,0,,,,,,,,,,,,,
10000055,10004930,FDSC-ATR,1,1,,,,,,,,,,,,,
10000055,10004930,FDSC-ATR,2,1,,,,,,,,,,,,,
10000080,10004797,NTAD162_1,1,0,,,,,,,,,,,,,
10000163,10000163,BSCERSF-C608,1,1,,,,,,,,,,,,,
10000163,10000163,BSPF-C800,1,1,,,,,,,,,,,,,
10000163,10000163,BSRDIF-B821,1,1,30,30,55,60,11,CAH02,95,0,0,0,10,5,90
10000163,10000163,BSRROF-B822,1,1,30,30,55,60,11,CAH02,95,0,0,0,10,5,90
10000163,10000163,BSSEHF-C607,1,1,,,,,,,,,,,,,
10000163,10000163,BSSEPF-C813,1,1,,,,,,,,,,,,,
10000163,10000163,BSSRF-C610,1,1,,,,,,,,,,,,,
10000163,10000163,MCCF-B320,1,0,30,30,55,60,14,,95,0,0,0,10,5,90
10000216,10000216,177650,1,0,,,,,,,,,,,,,
10000216,10000216,177650,2,1,,,,,,,,,,,,,
10000216,10000216,532986,1,0,,,,,,,,,,,,,
10000216,10000216,532986,2,1,,,,,,,,,,,,,
10000291,10000291,K00001,1,0,25,25,45,50,14,,80,10,15,5,30,0,40
10000291,10000291,K00004,1,0,10,10,20,55,14,,85,0,10,0,25,10,60
10000291,10000291,K00005,1,0,15,15,20,65,14,,85,5,5,0,0,5,80
10000291,10000291,K00006,1,0,15,15,30,50,14,,95,15,0,0,0,5,80
10000291,10000291,K00007,1,0,45,45,90,50,13,CAH25-01-03,90,10,0,0,0,5,80
10000291,10000291,K00008,1,0,45,45,90,50,13,CAH25-01-03,90,10,0,0,0,5,80
10000291,10000291,K00009,1,0,15,15,20,85,14,,95,5,0,5,15,0,75
10000291,10000291,K00011,1,0,15,15,30,55,24,,100,20,0,0,20,0,65
10000291,10000291,K00018,1,0,15,15,20,70,14,,90,15,0,0,10,10,70
10000291,10000291,K00020,1,0,20,20,30,60,24,,95,20,0,0,10,5,60
10000291,10000291,K00024,1,0,15,15,30,50,24,,65,20,20,15,5,0,40
10000291,10000291,K00028,1,0,15,15,20,75,14,,95,10,0,0,10,5,70
10000291,10000291,K00032,1,0,15,15,25,65,13,CAH19-01-03,90,15,0,0,10,10,65
10000291,10000291,K00032,1,0,20,20,25,75,13,CAH25-02-03,95,10,0,0,15,5,70
10000291,10000291,K00038,1,0,60,60,85,71,14,,82,5,5,5,21,8,56
10000291,10000291,K00040,1,0,20,20,35,55,24,,85,10,0,10,5,5,70
10000291,10000291,K00041,1,0,25,25,45,55,14,,90,5,0,5,20,10,65
10000291,10000291,K00042,1,0,10,10,15,70,14,,90,10,0,0,20,10,60
10000291,10000291,K00045,1,0,25,25,45,55,24,,90,30,0,10,10,0,55
10000291,10000291,K00048,1,0,20,20,35,55,11,CAH20,80,20,0,10,10,10,50
10000291,10000291,K00050,1,1,15,15,25,65,13,CAH19-01-03,90,15,0,0,10,10,65
10000291,10000291,K00050,1,1,20,20,35,55,11,CAH20,80,20,0,10,10,10,50
10000291,10000291,K00051,1,0,205,205,335,61,13,CAH17-01-04,81,8,6,3,13,10,61
10000291,10000291,K00052,1,0,20,20,30,55,14,,70,0,5,5,15,15,55
10000291,10000291,K00053,1,0,140,140,260,54,13,CAH17-01-02,83,9,6,4,15,7,59
10000291,10000291,K00054,1,0,140,140,260,54,13,CAH17-01-02,83,9,6,4,15,7,59
10000291,10000291,K00055,1,0,20,20,35,55,14,,70,15,0,10,10,20,40
10000291,10000291,K00065,1,1,20,20,35,65,13,CAH17-01-08,90,5,5,5,10,0,75
10000291,10000291,K00082,1,0,55,55,85,65,14,,98,2,0,0,4,2,93
10000291,10000291,K00083,1,0,25,25,45,55,14,,90,5,0,0,5,10,75
10000291,10000291,K00087,1,0,65,65,110,60,13,CAH15-01-02,87,11,2,3,17,8,59
10000291,10000291,K00087,1,0,15,15,20,70,23,CAH15-01-03,80,0,5,0,0,15,80
10000291,10000291,K00092,1,1,75,75,110,68,12,CAH11-01,86,5,8,4,12,3,68
10000291,10000291,K00096,1,0,35,35,60,55,14,,95,5,0,5,30,0,65
10000291,10000291,K00099,1,1,75,75,110,68,12,CAH11-01,86,5,8,4,12,3,68
10000291,10000291,K00100,1,1,10,10,15,70,13,CAH10-01-07,80,10,10,0,20,10,50
10000291,10000291,K00102,1,0,10,10,15,85,13,CAH10-01-02,80,10,10,0,0,10,75
10000291,10000291,K00103,1,1,10,10,10,90,13,CAH13-01-01,90,0,10,0,20,0,75
10000291,10000291,K00104,1,0,10,10,15,70,13,CAH10-03-06,90,0,10,0,10,0,80
10000291,10000291,K00105,1,1,45,45,75,60,13,CAH17-01-07,85,10,5,0,10,10,70
10000291,10000291,K00106,1,1,15,15,25,60,13,CAH13-01-02,85,0,5,0,5,5,80
10000291,10000291,K00108,1,0,60,60,90,67,23,CAH02-04-04,94,2,0,2,8,5,84
10000291,10000291,K00109,1,0,20,20,30,70,14,,95,0,0,0,10,5,85
10000291,10000291,K00111,1,0,120,120,195,62,12,CAH02-06,93,3,2,1,16,5,74
10000291,10000291,K00116,1,0,205,205,335,61,13,CAH17-01-04,81,8,6,3,13,10,61
10000291,10000291,K00119,1,0,25,25,40,70,14,,100,0,0,0,5,0,95
10000291,10000291,K00123,1,0,30,30,45,65,13,CAH11-01-01,85,5,10,5,15,5,65
10000291,10000291,K00126,1,0,25,25,45,60,14,,100,0,0,0,15,0,85
10000291,10000291,K00127,1,1,15,15,25,60,13,CAH13-01-02,85,0,5,0,5,5,80
10000291,10000291,K00128,1,0,40,40,70,55,13,CAH07-04-02,85,5,5,5,5,5,75
10000291,10000291,K00132,1,0,40,40,70,55,13,CAH07-04-02,85,5,5,5,5,5,75
10000291,10000291,K00133,1,0,140,140,260,54,13,CAH17-01-02,83,9,6,4,15,7,59
10000291,10000291,K00136,1,0,170,170,320,54,23,CAH22-01-01,92,16,1,4,9,4,67
10000291,10000291,K00139,1,1,,,,,,,,,,,,,
10000291,10000291,K00141,1,0,10,10,15,75,24,,80,0,10,0,10,10,70
10000291,10000291,K00142,1,0,10,10,10,85,14,,80,10,10,0,0,10,70
10000291,10000291,K00143,1,0,10,10,15,75,24,,85,0,15,0,0,0,85
10000291,10000291,K00144,1,0,15,15,25,60,13,CAH13-01-02,85,0,5,0,5,5,80
10000291,10000291,K00145,1,0,15,15,25,60,13,CAH13-01-02,85,0,5,0,5,5,80
10000291,10000291,K00146,1,0,10,10,10,90,13,CAH13-01-01,90,0,10,0,20,0,75
