,PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
7,10000163,10000163,BSRDIF-B821,1,30.0,30.0,55.0,60.0,95.0,0.0,0.0,0.0,10.0,5.0,90.0
8,10000163,10000163,BSRROF-B822,1,30.0,30.0,55.0,60.0,95.0,0.0,0.0,0.0,10.0,5.0,90.0
21,10000291,10000291,K00007,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
22,10000291,10000291,K00008,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
29,10000291,10000291,K00032,1,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
30,10000291,10000291,K00032,1,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
36,10000291,10000291,K00048,1,20.0,20.0,35.0,55.0,80.0,20.0,0.0,10.0,10.0,10.0,50.0
37,10000291,10000291,K00050,1,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
38,10000291,10000291,K00050,1,20.0,20.0,35.0,55.0,80.0,20.0,0.0,10.0,10.0,10.0,50.0
39,10000291,10000291,K00051,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
41,10000291,10000291,K00053,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
42,10000291,10000291,K00054,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
44,10000291,10000291,K00065,1,20.0,20.0,35.0,65.0,90.0,5.0,5.0,5.0,10.0,0.0,75.0
47,10000291,10000291,K00087,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
48,10000291,10000291,K00087,1,15.0,15.0,20.0,70.0,80.0,0.0,5.0,0.0,0.0,15.0,80.0
49,10000291,10000291,K00092,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
51,10000291,10000291,K00099,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
52,10000291,10000291,K00100,1,10.0,10.0,15.0,70.0,80.0,10.0,10.0,0.0,20.0,10.0,50.0
53,10000291,10000291,K00102,1,10.0,10.0,15.0,85.0,80.0,10.0,10.0,0.0,0.0,10.0,75.0
54,10000291,10000291,K00103,1,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
55,10000291,10000291,K00104,1,10.0,10.0,15.0,70.0,90.0,0.0,10.0,0.0,10.0,0.0,80.0
56,10000291,10000291,K00105,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
57,10000291,10000291,K00106,1,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
58,10000291,10000291,K00108,1,60.0,60.0,90.0,67.0,94.0,2.0,0.0,2.0,8.0,5.0,84.0
60,10000291,10000291,K00111,1,120.0,120.0,195.0,62.0,93.0,3.0,2.0,1.0,16.0,5.0,74.0
61,10000291,10000291,K00116,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
63,10000291,10000291,K00123,1,30.0,30.0,45.0,65.0,85.0,5.0,10.0,5.0,15.0,5.0,65.0
65,10000291,10000291,K00127,1,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
66,10000291,10000291,K00128,1,40.0,40.0,70.0,55.0,85.0,5.0,5.0,5.0,5.0,5.0,75.0
67,10000291,10000291,K00132,1,40.0,40.0,70.0,55.0,85.0,5.0,5.0,5.0,5.0,5.0,75.0
68,10000291,10000291,K00133,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
69,10000291,10000291,K00136,1,170.0,170.0,320.0,54.0,92.0,16.0,1.0,4.0,9.0,4.0,67.0
74,10000291,10000291,K00144,1,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
75,10000291,10000291,K00145,1,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
76,10000291,10000291,K00146,1,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
78,10000291,10000291,K00150,2,45.0,45.0,70.0,65.0,95.0,5.0,0.0,0.0,15.0,5.0,75.0
82,10000291,10000291,K00162,1,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
83,10000291,10000291,K00163,1,30.0,30.0,50.0,60.0,80.0,10.0,0.0,20.0,5.0,0.0,65.0
84,10000291,10000291,K00167,1,35.0,35.0,60.0,65.0,90.0,10.0,10.0,5.0,5.0,0.0,75.0
91,10000291,10000291,K00193,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
92,10000291,10000291,K00194,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
95,10000291,10000291,K00202,1,40.0,40.0,70.0,55.0,85.0,5.0,5.0,5.0,5.0,5.0,75.0
97,10000291,10000291,K00210,2,75.0,75.0,135.0,56.0,97.0,0.0,0.0,3.0,5.0,0.0,92.0
98,10000291,10000291,K00211,1,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
99,10000291,10000291,K00212,1,45.0,45.0,75.0,60.0,90.0,30.0,5.0,0.0,15.0,5.0,40.0
100,10000291,10000291,K00215,1,10.0,10.0,15.0,65.0,100.0,20.0,0.0,0.0,30.0,0.0,50.0
101,10000291,10000291,K00217,1,15.0,15.0,30.0,55.0,80.0,5.0,0.0,5.0,10.0,10.0,65.0
102,10000291,10000291,K00218,1,15.0,15.0,30.0,55.0,80.0,5.0,0.0,5.0,10.0,10.0,65.0
103,10000291,10000291,K00219,1,10.0,10.0,15.0,85.0,80.0,10.0,10.0,0.0,0.0,10.0,75.0
104,10000291,10000291,K00225,1,45.0,45.0,75.0,60.0,90.0,30.0,5.0,0.0,15.0,5.0,40.0
107,10000291,10000291,K00229,1,15.0,15.0,30.0,55.0,80.0,5.0,0.0,5.0,10.0,10.0,65.0
110,10000291,10000291,K00232,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
111,10000291,10000291,K00232,1,15.0,15.0,25.0,55.0,70.0,10.0,5.0,5.0,10.0,20.0,50.0
112,10000291,10000291,K00233,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
113,10000291,10000291,K00234,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
